Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,AA2C7E2B46,"Fundació Brafa ""A""",Fundació Brafa,Nivell B,Dissabte,Indiferent,1,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,FC1F82A01D,"Secció Esportiva Santa Eulalia (SESE) ""A""",Secció Esportiva Santa Eulalia (SESE),Nivell A,Dissabte,Fora,2,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,C263E24CB7,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,4,3,[5]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,EC455D14C2,Escola de Secundaria Els Arcs (Bàsquet),Escola de Secundaria Els Arcs (Bàsquet),Nivell B,Dissabte,4,4,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,4C9868028F,"S.E Escuelas Salesianas San José ""Negre""",S.E Escuelas Salesianas San José,Nivell D,Divendres,5,5,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,BFFCA883E2,"Fundació Brafa ""B""",Fundació Brafa,Nivell C,Divendres,Indiferent,6,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,7,[]
BÀSQUET LLIGA JOVE MIXT 1ª FASE CEEB,G1,554F97F67C,"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),Nivell C,Divendres,8,8,[]
