Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,97E4762836,"Club de Futbol Poblenou 2023 ""A""",Club de Futbol Poblenou 2023,Nivell E,Divendres,,1,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,3,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,5,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,F62DAB25E5,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell D,Divendres,6,6,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,DUMMY-5,Dummy 5,Dummy,Dummy,,,7,[]
FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,G1,9C4E30A6F0,Associació Can Baró Cultural,Associació Can Baró Cultural,Nivell A,Divendres,Casa,8,[]
