Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,042C7AC195,"Escola Thau ""B""",Escola Thau,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,E57ADF9931,Associacio Esportiva de Gracia A,Associacio Esportiva de Gracia,Nivell B,Divendres,2,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,4BDF943E11,"Club Esportiu Fabra i Coats ""A""",Club Esportiu Fabra i Coats,Nivell C,Divendres,3,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,0123CE5B1F,"Escola Pia Balmes ""B""",Escola Pia Balmes,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,64C03B9F88,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,2C5959007D,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,CCA17E315A,"AMPA Escola Mestre Enric Gibert i Camins ""A""",AMPA Escola Mestre Enric Gibert i Camins,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G8,D24E5A4EB3,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,8,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,CB86717D79,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,609E05D356,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell B,Divendres,Casa,2,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,2CA967BDD0,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell C,Divendres,3,3,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,EC70581B54,"Sant Peter´s School ""C""",Sant Peter´s School,Nivell C,Divendres,Fora,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,CC6D1F57EA,"Escola Costa i Llobera (AE Can Caralleu) ""Negre""",Escola Costa i Llobera (AE Can Caralleu),Nivell C,Divendres,5,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,C9240391C5,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,9F438E6F2C,"Club Esportiu Fabra i Coats ""B""",Club Esportiu Fabra i Coats,Nivell C,Divendres,7,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G9,40FC282FFD,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell D,Divendres,8,8,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,0F9F252BE5,"Escola Pia Sant Miquel ""S""",Escola Pia Sant Miquel,Nivell C,Dissabte,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,E59CBA47DE,"Escola Suïssa de Barcelona ""A""",Escola Suïssa de Barcelona,Nivell E,Divendres,2,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,3,[]
