Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,35E524105A,"JesuÏtes Sarria-Sant Ignasi ""A""",JesuÏtes Sarria-Sant Ignasi,Nivell A,Dimarts,1,1,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,A58D29AF56,"Escola Frederic Mistral-Tècnic Eulàlia (Sarrià) ""A""",Escola Frederic Mistral-Tècnic Eulàlia (Sarrià),Nivell C,Divendres,2,2,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,E2AF5229B5,"Associació Esportiva Voleibol Barcelona 2018 (L'acadèmia) ""F""",Associació Esportiva Voleibol Barcelona 2018 (L'acadèmia),Nivell B,Dissabte,Indiferent,3,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,5,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,EAFCC815AD,"Escola Súnion ""A""",Escola Súnion,Nivell E,Divendres,6,6,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,7,[]
VOLEIBOL LLIGA JOVE FEMENÍ 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,8,[]
