Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,2B61980C6C,"Escola Voramar ""A""",Escola Voramar,Nivell C,Dissabte,1,1,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,EE6120D13C,"Escola L'Arenal de Llevant ""Negre""",Escola L'Arenal de Llevant,Nivell A,Divendres,2,2,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,68ECC7EC45,"Escola L'Arenal de Llevant ""Blanc""",Escola L'Arenal de Llevant,Nivell A,Divendres,2,3,"[3, 4]"
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,4,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,5,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,6,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,FCC4FFAF21,"Escola Virolai ""A""",Escola Virolai,Nivell A,Divendres,7,7,[]
HANDBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,C60480DCAF,"Secció Esportiva La Salle Bonanova ""A""",Secció Esportiva La Salle Bonanova,Nivell A,Dissabte,Casa,8,[]
