Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Trinitat Unió Esportiva,Trinitat Unió,Nivell B,Dissabte,1,1,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,2,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,"Escola de Volei Ciutat Vella (AECV) ""A""",Escola de Volei Ciutat Vella (AECV),Nivell C,Divendres,3,3,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,4,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,Dissabte,5,5,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Dummy 3,Dummy,Dummy,,,6,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Dummy 4,Dummy,Dummy,,,7,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Dummy 5,Dummy,Dummy,,,8,[]
