Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,170D41C861,"FC Martinenc ""A""",FC Martinenc,Nivell A,Dissabte,Casa,1,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,C66CB5F64D,"Club Hoquei Claret ""A""",Club Hoquei Claret,Nivell E,Dissabte,Indiferent,2,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,3,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,4,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,5,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,882F5D25D5,"Unio Esportiva d´Horta ""Blau""",Unio Esportiva d´Horta,Nivell A,Dissabte,Casa,6,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,7,[]
HOQUEI PATINS MENUTS|MENUDES MIXT 1ª FASE CEEB,G1,DUMMY-5,Dummy 5,Dummy,Dummy,,,8,[]
