Nom Lliga,Grup,Id,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,2478243977,"Col·legi Canigó ""A""",Col·legi Canigó,Nivell A,Dissabte,Casa,1,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-1,Dummy 1,Dummy,Dummy,,,2,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-2,Dummy 2,Dummy,Dummy,,,3,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-3,Dummy 3,Dummy,Dummy,,,4,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,E88A91572E,"Escola Thau ""A""",Escola Thau,Nivell E,Divendres,Fora,5,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-4,Dummy 4,Dummy,Dummy,,,6,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,EF5637230A,"Escola Virolai ""A""",Escola Virolai,Nivell E,Divendres,7,7,[]
BÀSQUET PREBENJAMÍ FEMENÍ 1ª FASE CEEB,G1,DUMMY-5,Dummy 5,Dummy,Dummy,,,8,[]
