Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Modalitat,Categoria,Subcategoria,Dia partit,Horari partit,Observacions
Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:30 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:00 h,
"Jesuïtes Casp ""B""",Jesuïtes Casp,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,3,FUTBOL 5,ALEVÍ,MIXT,Dissabte,12:30 h,
"Club Esportiu Laietà (Futbol 5) ""Blau""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
"Club Esportiu Laietà (Futbol 5) ""Vermell""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:15 h,
"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,5,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:30 h,
Futsal Dante,Futsal Dante,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell A,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:30 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,FUTBOL 5,ALEVÍ,MIXT,Divendres,20:15 h,
"SEE APA Escola del Mar ""A""",SEE APA Escola del Mar,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,FUTBOL 5,ALEVÍ,MIXT,Divendres,18:15 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,FUTBOL 5,ALEVÍ,MIXT,Divendres,19:00 h,
