Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
Institució Montserrat,Institució Montserrat,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,20:15 h,
"SEE APA Escola del Mar ""A""",SEE APA Escola del Mar,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,7,Divendres,18:15 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,19:00 h,
CE Vincit-Provençalenc C,CE Vincit-Provençalenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,19:00 h,
Col·legi SAFA Horta,Col·legi SAFA Horta,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Dissabte,12:00 h,
"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,Alternar sorteig amb Femení de Palmasec.
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:30 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,20:00 h,
"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,,Divendres,19:15 h,
Parc del Guinardó - Gestió Club,Futbol Club Martinenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
Torrent d'en Melis - Gestió Club,Futbol Club Martinenc,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
"Centre d'Estudis Montseny ""A""",Centre d'Estudis Montseny,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,Divendres,19:15 h,
Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:00 h,
