Nom,Entitat,Nom Lliga,Nivell,Núm. sorteig,Dia partit,Horari partit,Observacions
EVEREST Prosperitat B,Escola de Futbol Sala Prosperitat,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell B,,Dissabte,13:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell D,Casa,Divendres,20:15 h,
"ACE Sansur ""D""",ACE Sansur,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:00 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell A,Fora,Divendres,20:00 h,
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell E,3,Divendres,20:15 h,
CE Vincit-Provençalenc D,CE Vincit-Provençalenc,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,20:00 h,
"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,12:00 h,
"Sant Peter´s School ""C""",Sant Peter´s School,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,20:00 h,
Futsal Dante,Futsal Dante,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,19:30 h,
SantÍssima Trinitat (Hermanas Trinitarias),SantÍssima Trinitat (Hermanas Trinitarias),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell D,,Dissabte,09:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell A,1,Divendres,19:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,7,Divendres,19:00 h,
"Club Esportiu Mediterrani ""A""",Club Esportiu Mediterrani,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,Fora,Dissabte,09:00 h,
"IES Poeta Maragall ""A""",IES Poeta Maragall,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 INFANTIL MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,11:00 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,Nivell D,Fora,Divendres,20:00 h,
"Fundació Brafa ""A""",Fundació Brafa,FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,15:45 h,AQUEST EQUIP ALTERNA PISTA AMB EL NOSTRE JUVENIL B DE FUTBOL SALA. PRIMERA JORNADA A CASA.
"Fundació Brafa ""B""",Fundació Brafa,FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell D,Fora,Dissabte,15:45 h,AQUEST EQUIP ALTERNA CAMP AMB EL NOSTRE JUVENIL A DE F. SALA. PRIMERA JORNADA HA DE JUGAR FORA.
"OAK House British School ""A""",OAK House British School,FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell C,1,Divendres,20:00 h,LLIGA DELS DIVENDRES
"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:15 h,
"Institut Ernest Lluch (AE L'Eixample) ""B""",Institut Ernest Lluch (AE L'Eixample),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:15 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell A,Casa,Divendres,19:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 JUVENIL MIXT 1ª FASE CEEB,Nivell A,1,Dissabte,10:00 h,LLIGA DIVENDRES SIUSPLAU
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 LLIGA ABSOLUTA FEMENÍ 1ª FASE CEEB,Nivell D,6,Divendres,21:00 h,
"Jesuïtes El Clot-Escola del Clot ""B""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell D,2,Divendres,21:00 h,
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell C,6,Dissabte,10:00 h,
Coret AE,Coret AE,FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell C,,Diumenge,11:00 h,
"AI Estel Vallseca ""A""",AI Estel Vallseca,FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell A,3,Divendres,21:15 h,
Col·legi Teresianes de Gràcia (A.E.V.G.),Col·legi Teresianes de Gràcia (A.E.V.G.),FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell E,Fora,Dimecres,21:30 h,"a casa juguem els dimecres a les 21:30 h, però el sistema no m'ho permet posar."
"Futsal Comtal ""C""",Futsal Comtal,FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,Nivell E,Indiferent,Divendres,21:15 h,
Centre Montserrat-Xavier,Centre Montserrat-Xavier,FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,Nivell E,Casa,Divendres,20:00 h,
"Centre Montserrat-Xavier ""A""",Centre Montserrat-Xavier,FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,Nivell A,Casa,Divendres,20:00 h,
"Centre Eines ""A""",Centre Eines,FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,Nivell B,,Divendres,21:00 h,
"Futsal Rosario Central ""A""",Futsal Rosario Central,FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,Nivell C,8,Divendres,21:00 h,"Coincidir amb Lliga Jove Mixt ""A"" gràcies"
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 LLIGA JOVE FEMENÍ 1ª FASE CEEB,Nivell D,1,Dissabte,13:00 h,
"Escolàpies Legends ""A""",Escolàpies Legends,FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell C,Indiferent,Divendres,19:30 h,
Casal de Joves Zona Nord,Associació Juvenil Casal de Jove Zona Nord,FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell B,Indiferent,Dissabte,10:30 h,
"Institut Ernest Lluch (AE L'Eixample) ""A""",Institut Ernest Lluch (AE L'Eixample),FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:15 h,
"Futsal Rosario Central ""A""",Futsal Rosario Central,FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell C,8,Divendres,20:00 h,"Coincidir en divendres tarda amb el FEMENI ""A"" lliga jove femeni."
"Futsal Rosario Central ""B""",Futsal Rosario Central,FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell B,4,Divendres,20:00 h,Coincidir amb equips BENJAMI/ALEVI
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 LLIGA JOVE MIXT 1ª FASE CEEB,Nivell B,1,Dissabte,10:00 h,
Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Nivell E,,Divendres,18:00 h,
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,09:30 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:15 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 MENUDETS|MENUDETES MIXT 1ª FASE CEEB,Nivell D,1,Dissabte,11:00 h,
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell C,6,Divendres,18:00 h,
Associació Esportiva Babar,Associació Esportiva Babar,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell C,,Dissabte,10:00 h,
"Club Joventut Les Corts ""A""",Club Joventut Les Corts,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell A,Casa,Dissabte,09:00 h,
EVEREST Prosperitat J,Escola de Futbol Sala Prosperitat,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell B,,Dissabte,10:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
EVEREST Prosperitat I,Escola de Futbol Sala Prosperitat,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell B,,Dissabte,09:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell A,Casa,Dissabte,10:00 h,
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell E,Casa,Dissabte,10:30 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:15 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 MENUTS|MENUDES MIXT 1ª FASE CEEB,Nivell E,1,Dissabte,09:00 h,
"CE Vincit-Provençalenc ""A""",CE Vincit-Provençalenc,FUTBOL 5 PREALEVÍ FEMENÍ 1ª FASE CEEB,Nivell C,Fora,Divendres,18:15 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 PREALEVÍ FEMENÍ 1ª FASE CEEB,Nivell E,1,Dissabte,12:00 h,
"Escola Pia Sant Miquel ""S""",Escola Pia Sant Miquel,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,11:45 h,
"Escola Pia Sant Miquel ""P""",Escola Pia Sant Miquel,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,11:00 h,
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,2,Divendres,19:00 h,
"Escola Sant Josep Oriol ""A""",Escola Sant Josep Oriol,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,Casa,Divendres,18:00 h,
"Escola Els Llorers (AE L'Eixample) ""A""",Escola Els Llorers (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,5,Divendres,19:30 h,
Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell B,1,Dissabte,11:00 h,
Col·legi SAFA Horta,Col·legi SAFA Horta,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,5,Divendres,18:00 h,
"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:15 h,
"Escola Costa i Llobera (AE Can Caralleu) ""Negre""",Escola Costa i Llobera (AE Can Caralleu),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,18:15 h,
"CE La Salle Gracia ""Negre""",CE La Salle Gracia,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,19:30 h,
"CE La Salle Gracia ""Groc""",CE La Salle Gracia,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,19:30 h,
Àngels Garriga SPOT,Àngels Roig SPOT,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:15 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,19:00 h,LLIGA DELS DIVENDRES
"Escola Nabí ""A""",Escola Nabí,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:00 h,
"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,5,Divendres,18:00 h,
"Escola Carlit (AE L'Eixample) ""A""",Escola Carlit (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,19:15 h,
Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,
Escola Tabor (CEM Sagrada Familia),Escola Tabor (CEM Sagrada Familia),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Dissabte,09:00 h,
Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,19:30 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:30 h,
EVEREST Prosperitat F,Escola de Futbol Sala Prosperitat,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell B,,Dissabte,10:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
EVEREST Prosperitat A,Escola de Futbol Sala Prosperitat,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell B,,Dissabte,09:00 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:15 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:00 h,
CE Vincit-Provençalenc C,CE Vincit-Provençalenc,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
"CE Vincit-Provençalenc ""D""",CE Vincit-Provençalenc,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,Fora,Divendres,19:00 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,20:15 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:00 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell B,Casa,Divendres,18:00 h,
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:30 h,
"Escola Pia Balmes ""B""",Escola Pia Balmes,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,19:00 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,8,Divendres,19:00 h,
"Escola Fructuós Gelabert (AE L'Eixample) ""A""",Escola Fructuós Gelabert (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,Divendres,18:00 h,
Torrent d'en Melis - Gestió Club,Futbol Club Martinenc,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Sant Peter´s School ""C""",Sant Peter´s School,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
"Artós Sports Club (FPC CET 10) ""A""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell A,1,Divendres,19:45 h,LLIGA DIVENDRES
"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,3,Divendres,19:00 h,
"Escola Calderon de la Barca AMPA ""A""",Escola Calderon de la Barca AMPA,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,8,Divendres,19:00 h,
"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,19:15 h,
Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,5,Divendres,18:00 h,
Escola Ntra Sra de Lurdes,Escola Ntra Sra de Lurdes,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,Dissabte,10:00 h,
Manyanet Sant Andreu,Manyanet Sant Andreu,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell D,1,Dissabte,13:00 h,
"Jesuïtes Gràcia - Col·legi Kostka ""Verd""",Jesuïtes Gràcia - Col·legi Kostka,FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,Nivell C,4,Dissabte,12:00 h,
Escola Pia Sant Miquel,Escola Pia Sant Miquel,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:00 h,
"EFS Vesuvi ""A""",Trinitat Unió Esportiva,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,17:50 h,
"Escola Pia Sant Miquel ""B""",Escola Pia Sant Miquel,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:00 h,
"Col·legi Teresianes de Gràcia (A.E.V.G.) ""A""",Col·legi Teresianes de Gràcia (A.E.V.G.),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:00 h,"Tinc dos equips (prebenjamí i benjamí) vull que juguin els dos en el mateix torn ( a casa junts i a fora també), sinó, m'és impossible per temes logístics."
"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,2,Divendres,18:00 h,
"Jesuïtes El Clot-Escola del Clot ""B""",Jesuïtes El Clot-Escola del Clot,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,6,Divendres,19:00 h,
"Golden Panthers ""A""",Golden Panthers,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:00 h,
Club Esportiu Mediterrani,Club Esportiu Mediterrani,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:00 h,
"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Dissabte,10:00 h,
"Artós Sports Club (FPC CET 10) ""D""",Artós Sports Club (FPC CET 10),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Dissabte,10:00 h,
"Col·legi SAFA Horta ""A""",Col·legi SAFA Horta,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:00 h,
"Club Joventut Les Corts ""A""",Club Joventut Les Corts,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell A,Fora,Dissabte,09:00 h,
CE La Salle Gracia,CE La Salle Gracia,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:30 h,
"OAK House British School ""A""",OAK House British School,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:00 h,LLIGA DELS DIVENDRES
"OAK House British School ""B""",OAK House British School,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,1,Divendres,18:00 h,LLIGA DE DIVENDRES
"Escola Carlit (AE L'Eixample) ""A""",Escola Carlit (AE L'Eixample),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,5,Divendres,18:15 h,
Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:00 h,
"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:15 h,
Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,18:30 h,
"ACE Sansur ""A""",ACE Sansur,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,10:30 h,
EVEREST Prosperitat D,Escola de Futbol Sala Prosperitat,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,,Dissabte,11:45 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
EVEREST Prosperitat J,Escola de Futbol Sala Prosperitat,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,,Dissabte,10:45 h,"ATENDRE LLISTAT DE PETICIÓ PELS CALENDARIS. 6 EQUIPS UN DISSABTE (MENUTS I, MENUTS J, PREBENJAMIN J, PREBENJAMI D, ALEVI FEMENI, CADET FEMENI) 5 EQUIPS EL SEGÜENT DISSABTE (PREALEVI A, PEALEVI F, BENJAMI P, ALEVI E, INFANTIL B)"
"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,1,Divendres,18:30 h,
Futsal Dante,Futsal Dante,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:30 h,
"Escola Joan Miró (AE L'Eixample) ""A""",Escola Joan Miró (AE L'Eixample),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:00 h,
"Lycée Français de Gavà (Bon Soleil) ""C""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,10:00 h,
"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Dissabte,11:00 h,
"Lycée Français de Gavà (Bon Soleil) ""B""",Lycée Français de Gavà (Bon Soleil),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Dissabte,11:00 h,
"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Fora,Divendres,18:15 h,
Institució Montserrat,Institució Montserrat,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Casa,Divendres,19:15 h,
CE Vincit-Provençalenc B,CE Vincit-Provençalenc,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,Casa,Divendres,18:00 h,
CE Vincit-Provençalenc A,CE Vincit-Provençalenc,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell B,Fora,Divendres,18:00 h,
"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell D,8,Divendres,18:30 h,
"Futsal Dante ""Negre""",Futsal Dante,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell E,Fora,Divendres,18:30 h,
"Escola Pia Balmes ""A""",Escola Pia Balmes,FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,Nivell C,4,Divendres,18:00 h,
