Nom Lliga,Grup,Nom,Entitat,Nivell,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,Trinitat Unió Esportiva,Trinitat Unió,Nivell B,1,1,[]
,G1,,,,,2,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,"Escola de Volei Ciutat Vella (AECV) ""A""",Escola de Volei Ciutat Vella (AECV),Nivell C,3,3,[]
,G1,,,,,4,[]
VOLEIBOL SÈNIOR-LLIGA JOVE MIXT 1ª FASE CEEB,G1,"Escola Orlandai ""A""",Escola Orlandai,Nivell A,5,5,[]
,G1,,,,,6,[]
,G1,,,,,7,[]
,G1,,,,,8,[]
