Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,CE Vincit-Provençalenc A,CE Vincit-Provençalenc,Nivell B,Divendres,Casa,1,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,EVEREST Prosperitat,Escola de Futbol Sala Prosperitat,Nivell B,Dissabte,,2,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell E,Divendres,3,3,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,5,5,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell E,Divendres,6,6,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,Artós Sports Club (FPC CET 10),Artós Sports Club (FPC CET 10),Nivell A,Divendres,Casa,7,[]
FUTBOL 5 ALEVÍ FEMENÍ 1ª FASE CEEB,G1,"Artós Sports Club (FPC CET 10) ""B""",Artós Sports Club (FPC CET 10),Nivell B,Divendres,Casa,8,[]
