Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,"OAK House British School ""A""",OAK House British School,Nivell C,Divendres,1,3,"[1, 2, 3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,"Artós Sports Club (FPC CET 10) ""C""",Artós Sports Club (FPC CET 10),Nivell D,Divendres,5,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,Dummy 5,Dummy,Dummy,,,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,Col·legi Maristes Sants-Les Corts,Col·legi Maristes Sants-Les Corts,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G4,"Dominiques Barcelona ""A""",Dominiques Barcelona,Nivell B,Divendres,1,8,"[6, 7]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell C,Divendres,Casa,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,"Escola Bac de Roda (7 d'Aventura) ""A""",Escola Bac de Roda (7 d'Aventura),Nivell E,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell B,Divendres,2,3,"[3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,"Futsal Dante ""Negre""",Futsal Dante,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,"Club Esportiu Laietà (Futbol 5) ""A""",Club Esportiu Laietà (Futbol 5),Nivell C,Divendres,Fora,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,Dummy 3,Dummy,Dummy,,,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G6,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Casa,8,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,"OAK House British School ""B""",OAK House British School,Nivell C,Divendres,1,1,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,Escola Pia Sant Miquel,Escola Pia Sant Miquel,Nivell E,Divendres,1,2,"[1, 2]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,"Escola Ntra Sra de Lurdes ""A""",Escola Ntra Sra de Lurdes,Nivell E,Dissabte,1,3,"[1, 2, 3, 4]"
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,"EFS Vesuvi ""A""",Trinitat Unió Esportiva,Nivell C,Divendres,4,4,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,Dummy 7,Dummy,Dummy,,,5,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,Escola Josep Mº Jujol (Valors IPP),Escola Josep Mº Jujol (Valors IPP),Nivell E,Divendres,Casa,6,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,"Golden Panthers ""A""",Golden Panthers,Nivell E,Divendres,Casa,7,[]
FUTBOL 5 PREBENJAMÍ MIXT 1ª FASE CEEB,G2,Galí Bellesguard (AE L'Eixample),Galí Bellesguard (AE L'Eixample),Nivell D,Divendres,1,8,"[6, 7]"
