Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G4,"Escola Pràctiques (AE L'Eixample) ""A""",Escola Pràctiques (AE L'Eixample),Nivell E,Divendres,5,4,"[6, 7]"
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G4,"Lycée Français de Gavà (Bon Soleil) ""A""",Lycée Français de Gavà (Bon Soleil),Nivell C,Divendres,Fora,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G4,"Club Esportiu Terra Negra ""A""",Club Esportiu Terra Negra,Nivell E,Divendres,Casa,6,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G4,"SEE APA Escola del Mar ""A""",SEE APA Escola del Mar,Nivell E,Divendres,7,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G4,Scala Dei - Futsal Dante,Scala Dei - Futsal Dante,Nivell E,Divendres,Casa,8,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,1,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"Club Esportiu Mediterrani ""C""",Club Esportiu Mediterrani,Nivell E,Divendres,Fora,2,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"AF Sant Antoni Futsal ""A""",AF Sant Antoni Futsal,Nivell E,Divendres,Fora,3,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell C,Divendres,4,4,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell C,Divendres,Fora,5,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"EB Vallcarca Nord (FBC) ""Blau""",EB Vallcarca Nord (FBC),Nivell E,Divendres,,6,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"Club Esportiu Jesús Maria ""A""",Club Esportiu Jesús Maria,Nivell D,Divendres,7,7,[]
FUTBOL 5 ALEVÍ MIXT 1ª FASE CEEB,G6,"Centre d'Estudis Montseny ""A""",Centre d'Estudis Montseny,Nivell D,Divendres,1,8,"[6, 7]"
