Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,"Col·legi Sagrat Cor Esclaves ""A""",Col·legi Sagrat Cor Esclaves,Nivell A,Dissabte,1,1,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,"Col·legi Padre Damian Sagrados Corazones ""A""",Col·legi Padre Damian Sagrados Corazones,Nivell B,Divendres,Fora,2,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,"Col·legi Sagrat Cor Sarrià ""A""",Col·legi Sagrat Cor Sarrià,Nivell A,Divendres,3,3,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,"Escola Sadako ""A""",Escola Sadako,Nivell C,Divendres,Fora,4,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,5,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,6,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 3,Dummy,Dummy,,,7,[]
VOLEIBOL PREBENJAMÍ MIXT 1ª FASE CEEB,G1,Dummy 4,Dummy,Dummy,,,8,[]
