Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,1,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,2,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,Dummy 3,Dummy,Dummy,,,3,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,"AEE Institut Josep Pla ""A""",AEE Institut Josep Pla,Nivell A,Divendres,4,4,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,Dummy 4,Dummy,Dummy,,,5,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,Dummy 5,Dummy,Dummy,,,6,[]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,"AEE La Sedeta ""B""",AEE La Sedeta,Nivell A,Dissabte,8,7,[5]
VOLEIBOL JUNIOR MIXT 1ª FASE CEEB,G1,"AEE La Sedeta ""A""",AEE La Sedeta,Nivell A,Dissabte,8,8,[]
