Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Escola Carlit (AE L'Eixample) ""A""",Escola Carlit (AE L'Eixample),Nivell C,Divendres,5,4,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Escola Diputació - TEAM ""A""",Escola Diputació - TEAM,Nivell E,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"AFA Escola Taber (AE Can Caralleu) ""Vermell""",AFA Escola Taber (AE Can Caralleu),Nivell D,Divendres,5,6,"[1, 2]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Escola Pia Balmes ""A""",Escola Pia Balmes,Nivell D,Divendres,8,7,[5]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G5,"Escola Costa i Llobera (AE Can Caralleu) ""Groc""",Escola Costa i Llobera (AE Can Caralleu),Nivell C,Divendres,1,8,"[6, 7]"
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,"CE La Salle Gracia ""Negre""",CE La Salle Gracia,Nivell C,Divendres,1,1,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell E,Divendres,2,2,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,"Escola Auró (AE L'Eixample) ""A""",Escola Auró (AE L'Eixample),Nivell C,Divendres,4,3,[5]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,Institució Montserrat,Institució Montserrat,Nivell E,Divendres,Fora,4,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,"CE Vincit-Provençalenc ""D""",CE Vincit-Provençalenc,Nivell D,Divendres,Fora,5,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,Torrent d'en Melis - Gestió Club,Futbol Club Martinenc,Nivell E,Divendres,Casa,6,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,Dummy 4,Dummy,Dummy,,,7,[]
FUTBOL 5 PREALEVÍ MIXT 1ª FASE CEEB,G6,Àngels Garriga SPOT,Àngels Roig SPOT,Nivell E,Divendres,1,8,"[6, 7]"
