Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,1,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 4,Dummy,Dummy,,,2,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,3,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 3,Dummy,Dummy,,,4,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,CE Vincit-Provençalenc B,CE Vincit-Provençalenc,Nivell D,Divendres,Fora,5,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 5,Dummy,Dummy,,,6,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 6,Dummy,Dummy,,,7,[]
FUTBOL 5 JUVENIL FEMENÍ 1ª FASE CEEB,G1,Dummy 7,Dummy,Dummy,,,8,[]
