Nom Lliga,Grup,Nom,Entitat,Nivell,Dia partit,Núm. sorteig,Núm. sorteig assignat,Diferències jornades
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,"Jesuïtes El Clot-Escola del Clot ""B""",Jesuïtes El Clot-Escola del Clot,Nivell D,Divendres,2,1,"[1, 2]"
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,Col·legi Teresianes de Gràcia (A.E.V.G.),Col·legi Teresianes de Gràcia (A.E.V.G.),Nivell E,Dimecres,Fora,2,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,"AI Estel Vallseca ""A""",AI Estel Vallseca,Nivell A,Divendres,3,3,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,Coret AE,Coret AE,Nivell C,Diumenge,,4,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,"Futsal Comtal ""C""",Futsal Comtal,Nivell E,Divendres,Indiferent,5,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,"Jesuïtes El Clot-Escola del Clot ""A""",Jesuïtes El Clot-Escola del Clot,Nivell C,Dissabte,6,6,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,Dummy 1,Dummy,Dummy,,,7,[]
FUTBOL 5 LLIGA ABSOLUTA MIXT 1ª FASE CEEB,G1,Dummy 2,Dummy,Dummy,,,8,[]
